[run number],number-of-voters,minority-fraction,majority-mean-utility,majority-utility-stdev,minority-mean-utility,minority-utility-stdev,marginal-pivotality,variance-of-perceived-pivotality,limit-votes?,payoff-include-votes-cost?,voting-mechanism,[step],mean payoff-sign-list,mean payoff-list,standard-deviation payoff-list,mean vote-sum-list,standard-deviation vote-sum-list,mean mean-median-same-sign-list
152,40,0,0,3,10,1,0.5,0.08,FALSE,FALSE,QV,1000,0.846,13.53458895,13.48628653,0.262132521,11.28926875,0.814
155,40,0,0,6,10,1,0.5,3.00E-04,FALSE,FALSE,1p1v,1000,0.791,23.30324007,29.63511324,-0.1,6.263324136,0.812
154,40,0,0,3,10,1,0.5,0.083,FALSE,FALSE,QV,1000,0.841,13.07019678,13.70070304,-0.635473307,10.76332401,0.79
157,40,0,0,6,10,1,0.5,0.001,FALSE,FALSE,1p1v,1000,0.788,24.92386627,30.34125193,0.028,6.569198609,0.792
156,40,0,0,6,10,1,0.5,3.00E-04,FALSE,FALSE,QV,1000,0.989,30.7746643,23.56019163,0.117944993,19.35694812,0.815
159,40,0,0,6,10,1,0.5,0.01,FALSE,FALSE,1p1v,1000,0.792,22.99362405,28.22413787,-0.082,6.232505124,0.795
158,40,0,0,6,10,1,0.5,0.001,FALSE,FALSE,QV,1000,0.981,29.82322564,23.03993579,0.606055997,18.84759514,0.813
160,40,0,0,6,10,1,0.5,0.01,FALSE,FALSE,QV,1000,0.927,30.6796041,24.66434287,-0.378914461,19.83030866,0.813
161,40,0,0,6,10,1,0.5,0.02,FALSE,FALSE,1p1v,1000,0.802,23.99540368,29.09193426,0.03,6.358894207,0.811
163,40,0,0,6,10,1,0.5,0.03,FALSE,FALSE,1p1v,1000,0.819,25.19143516,29.27450973,-0.314,6.212890149,0.818
162,40,0,0,6,10,1,0.5,0.02,FALSE,FALSE,QV,1000,0.926,28.55849152,22.15553797,0.690230261,18.7463394,0.788
164,40,0,0,6,10,1,0.5,0.03,FALSE,FALSE,QV,1000,0.89,27.78660215,24.43726234,-0.754661782,19.77385828,0.787
