"BehaviorSpace results (NetLogo 6.1.0)"
"QVoting with Polling.nlogo"
"does-polling-converge"
"08/05/2019 14:20:26:937 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-32","32","-32","32"
"[run number]","number-of-voters","proportion-of-strategic-voters","number-of-issues","poll-response-rate","utility-distribution","[step]","poll","total-utility-gain","maximal-utility?"
"85","1500","0.1","2","1","Normal mean = 0","50","[4.028550247311486 1.530318268782192]","[0 0]","false"
"86","1500","0.1","2","1","Normal mean = 0","50","[40.511558201467736 -36.99728277236422]","[0 0]","false"
"89","1500","0.1","2","1","Normal mean = 0","50","[-7.633249746489861 -18.771087343504895]","[0 0]","false"
"88","1500","0.1","2","1","Normal mean = 0","50","[-68.69847528074153 24.93735328827866]","[0 0]","false"
"87","1500","0.1","2","1","Normal mean = 0","50","[-23.5827358023391 -13.244961106632726]","[0 0]","false"
"90","1500","0.1","2","1","Normal mean = 0","50","[-41.03875547837956 6.884063552227688]","[0 0]","false"
"92","1500","0.1","2","1","Normal mean = 0","50","[-3.4224196433957035 24.036927858592406]","[0 0]","false"
"91","1500","0.1","2","1","Normal mean = 0","50","[-0.0892233710369234 21.687858318310496]","[0 0]","false"
"93","1500","0.1","2","1","Normal mean = 0","50","[8.032010322897936 -3.333677670275597]","[0 0]","false"
"94","1500","0.1","2","1","Normal mean = 0","50","[7.751790938815351 -0.8401602702370381]","[0 0]","false"
"95","1500","0.1","2","1","Normal mean = 0","50","[-30.291631335778806 -18.89904451871744]","[0 0]","false"
"96","1500","0.1","2","1","Normal mean = 0","50","[-36.56546286167598 -40.643485331594746]","[0 0]","false"
"97","1500","0.1","2","1","Normal mean = 0","50","[-45.47569290747624 21.861705756711057]","[0 0]","false"
"98","1500","0.1","2","1","Normal mean = 0","50","[-18.689470429843986 56.896327477320035]","[0 0]","false"
"101","1500","0.1","2","1","Normal mean = 0","50","[33.11696636466637 37.9367785465886]","[0 0]","false"
"99","1500","0.1","2","1","Normal mean = 0","50","[-0.8343666991761027 12.438619801232262]","[0 0]","false"
"100","1500","0.1","2","1","Normal mean = 0","50","[-0.5328607039946077 20.726639635903084]","[0 0]","false"
"102","1500","0.1","2","1","Normal mean = 0","50","[6.030651500007979 -4.997154979450795]","[0 0]","false"
"103","1500","0.1","2","1","Normal mean = 0","50","[16.708882045000838 23.412608371540585]","[0 0]","false"
"104","1500","0.1","2","1","Normal mean = 0","50","[-22.63176658856792 18.54400768139103]","[0 0]","false"
"105","1500","0.1","2","1","Normal mean = 0","50","[14.620008954209634 -7.692017515407798]","[0 0]","false"
"106","1500","0.1","2","1","Normal mean = 0","50","[2.243033178640829 10.903078257216446]","[0 0]","false"
"107","1500","0.1","2","1","Normal mean = 0","50","[-26.489596834994952 8.873825510421579]","[0 0]","false"
"108","1500","0.1","2","1","Normal mean = 0","50","[-35.984555767870646 -33.31177871187044]","[0 0]","false"
"110","1500","0.1","2","1","Normal mean = 0","50","[-57.040609110225205 49.51706650909952]","[0 0]","false"
"109","1500","0.1","2","1","Normal mean = 0","50","[58.16901600812977 17.69071540589484]","[0 0]","false"
"111","1500","0.1","2","1","Normal mean = 0","50","[14.700698590596222 -36.64807512889868]","[0 0]","false"
"112","1500","0.1","2","1","Normal mean = 0","50","[11.917621476877088 -14.107527167934057]","[0 0]","false"
"113","1500","0.1","2","1","Normal mean = 0","50","[21.87833089422882 4.6822964467484525]","[0 0]","false"
"114","1500","0.1","2","1","Normal mean = 0","50","[-4.7273346863056265 -8.17291082531354]","[0 0]","false"
"115","1500","0.1","2","1","Normal mean = 0","50","[0.07626996337248948 -29.741710809869666]","[0 0]","false"
"116","1500","0.1","2","1","Normal mean = 0","50","[37.92632331765623 15.461057828280815]","[0 0]","false"
"117","1500","0.1","2","1","Normal mean = 0","50","[15.034018292184745 -2.3236530350970006]","[0 0]","false"
"118","1500","0.1","2","1","Normal mean = 0","50","[21.291070122396818 -34.20923048656845]","[0 0]","false"
"119","1500","0.1","2","1","Normal mean = 0","50","[-18.01616427352384 -37.079926723809876]","[0 0]","false"
"120","1500","0.1","2","1","Normal mean = 0","50","[82.59327744207042 -6.23414823206438]","[0 0]","false"
"121","1500","0.1","2","1","Normal mean = 0","50","[4.254321644008997 -23.600939735950337]","[0 0]","false"
"123","1500","0.1","2","1","Normal mean = 0","50","[45.64601530020123 -53.637014850281936]","[0 0]","false"
"122","1500","0.1","2","1","Normal mean = 0","50","[-24.962852981645117 3.085362464689262]","[0 0]","false"
"125","1500","0.1","2","1","Normal mean = 0","50","[-94.57183673864427 -16.24564361455813]","[0 0]","false"
"127","1500","0.1","2","1","Normal mean = 0","50","[21.593136405482692 22.34228748928995]","[0 0]","false"
"126","1500","0.1","2","1","Normal mean = 0","50","[8.552459331166954 -2.6240721474615913]","[0 0]","false"
"124","1500","0.1","2","1","Normal mean = 0","50","[-8.47643050732528 4.435973282492842]","[0 0]","false"
"128","1500","0.1","2","1","Normal mean = 0","50","[-33.27265741170586 15.726477647458125]","[0 0]","false"
"129","1500","0.1","2","1","Normal mean = 0","50","[-5.620507647353209 -16.595993551289634]","[0 0]","false"
"131","1500","0.1","2","1","Normal mean = 0","50","[-10.166411926550786 14.299607351551028]","[0 0]","false"
"130","1500","0.1","2","1","Normal mean = 0","50","[23.45426552737441 -13.830297781122495]","[0 0]","false"
"133","1500","0.1","2","1","Normal mean = 0","50","[-23.441163152026306 12.21602949252436]","[0 0]","false"
"132","1500","0.1","2","1","Normal mean = 0","50","[11.997171280495511 39.99845769989091]","[0 0]","false"
"134","1500","0.1","2","1","Normal mean = 0","50","[-6.19786539091081 -26.129822891820634]","[0 0]","false"
"135","1500","0.1","2","1","Normal mean = 0","50","[22.867934508556136 1.2998703813127224]","[0 0]","false"
"136","1500","0.1","2","1","Normal mean = 0","50","[-30.23870660530449 -5.523908059664717]","[0 0]","false"
"137","1500","0.1","2","1","Normal mean = 0","50","[43.060294973446595 -5.28667988558961]","[0 0]","false"
"138","1500","0.1","2","1","Normal mean = 0","50","[6.455992984734078 -8.912993048835872]","[0 0]","false"
"139","1500","0.1","2","1","Normal mean = 0","50","[37.0704600583665 2.3063536925911237]","[0 0]","false"
"141","1500","0.1","2","1","Normal mean = 0","50","[15.13725491966625 6.047952473456043]","[0 0]","false"
"140","1500","0.1","2","1","Normal mean = 0","50","[2.9985653930938727 -24.012585456554355]","[0 0]","false"
"142","1500","0.1","2","1","Normal mean = 0","50","[-36.862068759790844 19.98859548647258]","[0 0]","false"
"143","1500","0.1","2","1","Normal mean = 0","50","[-5.26286300548018 7.72764748931252]","[0 0]","false"
"144","1500","0.1","2","1","Normal mean = 0","50","[-26.955584403417888 10.175065076645373]","[0 0]","false"
"146","1500","0.1","2","1","Normal mean = 0","50","[-29.77881071095811 -8.280265443752423]","[0 0]","false"
"145","1500","0.1","2","1","Normal mean = 0","50","[-24.08626923903554 -29.423915060178278]","[0 0]","false"
"147","1500","0.1","2","1","Normal mean = 0","50","[-18.41765456323737 -26.39342418316336]","[0 0]","false"
"149","1500","0.1","2","1","Normal mean = 0","50","[-4.03945548623356 -22.692813691721557]","[0 0]","false"
"148","1500","0.1","2","1","Normal mean = 0","50","[-10.726869671405133 -27.118630375419013]","[0 0]","false"
"150","1500","0.1","2","1","Normal mean = 0","50","[42.190807401174574 -8.867491855672302]","[0 0]","false"
"151","1500","0.1","2","1","Normal mean = 0","50","[-14.285990869690233 -41.22174914096372]","[0 0]","false"
"152","1500","0.1","2","1","Normal mean = 0","50","[-76.14313228201347 86.10880547197407]","[0 0]","false"
"153","1500","0.1","2","1","Normal mean = 0","50","[28.162404099393942 20.134797178126075]","[0 0]","false"
"154","1500","0.1","2","1","Normal mean = 0","50","[63.2742154446384 -19.006607079449555]","[0 0]","false"
"155","1500","0.1","2","1","Normal mean = 0","50","[30.793876565243472 -0.27045517957490406]","[0 0]","false"
"156","1500","0.1","2","1","Normal mean = 0","50","[4.4934880212794255 -3.543025452376328]","[0 0]","false"
"157","1500","0.1","2","1","Normal mean = 0","50","[9.5813455556428 0.08373239503131225]","[0 0]","false"
"159","1500","0.1","2","1","Normal mean = 0","50","[35.552817569002464 -36.59098358659919]","[0 0]","false"
"162","1500","0.1","2","1","Normal mean = 0","50","[23.944938169984965 -13.605711888887964]","[0 0]","false"
"160","1500","0.1","2","1","Normal mean = 0","50","[19.268516656231874 14.452754910362989]","[0 0]","false"
"161","1500","0.1","2","1","Normal mean = 0","50","[83.64722385618687 5.1458683687659805]","[0 0]","false"
"158","1500","0.1","2","1","Normal mean = 0","50","[-4.085883362125245 33.32260579858852]","[0 0]","false"
"163","1500","0.1","2","1","Normal mean = 0","50","[27.559185158202226 -18.895149749932273]","[0 0]","false"
"164","1500","0.1","2","1","Normal mean = 0","50","[15.952678750909946 -6.298034961253304]","[0 0]","false"
"165","1500","0.1","2","1","Normal mean = 0","50","[-2.635803426981372 19.632091590121508]","[0 0]","false"
"166","1500","0.1","2","1","Normal mean = 0","50","[2.6337300207219765 3.8514458185704434]","[0 0]","false"
"167","1500","0.1","2","1","Normal mean = 0","50","[43.37816819473059 6.244138395469275]","[0 0]","false"
"168","1500","0.1","2","1","Normal mean = 0","50","[13.80548074159147 16.558759680204236]","[0 0]","false"
"169","1500","0.1","2","1","Normal mean = 0","50","[-10.547867067017243 -26.966190617308975]","[0 0]","false"
"173","1500","0.1","2","1","Normal mean = 0","50","[3.1329011324983504 -5.344220310627261]","[0 0]","false"
"170","1500","0.1","2","1","Normal mean = 0","50","[-1.721288819381883 -0.7193593087104626]","[0 0]","false"
"172","1500","0.1","2","1","Normal mean = 0","50","[38.07365474150694 6.880562061027006]","[0 0]","false"
"171","1500","0.1","2","1","Normal mean = 0","50","[30.201269010428387 -4.601845536259311]","[0 0]","false"
"174","1500","0.1","2","1","Normal mean = 0","50","[-38.49280322606748 -16.847949692047006]","[0 0]","false"
"175","1500","0.1","2","1","Normal mean = 0","50","[19.15734989145111 -1.7735680443582504]","[0 0]","false"
"176","1500","0.1","2","1","Normal mean = 0","50","[-5.726524593044042 -1.6503040246380178]","[0 0]","false"
"177","1500","0.1","2","1","Normal mean = 0","50","[-40.378538415065464 -5.8558999374291005]","[0 0]","false"
"178","1500","0.1","2","1","Normal mean = 0","50","[-5.00497487107098 -13.23800040270713]","[0 0]","false"
"179","1500","0.1","2","1","Normal mean = 0","50","[5.461608814016843 3.1626610824220642]","[0 0]","false"
"180","1500","0.1","2","1","Normal mean = 0","50","[-43.9760173125421 -15.848550996139616]","[0 0]","false"
"181","1500","0.1","2","1","Normal mean = 0","50","[2.6183696621288477 24.76450211069862]","[0 0]","false"
"182","1500","0.1","2","1","Normal mean = 0","50","[42.62628520422252 27.969448522840967]","[0 0]","false"
"184","1500","0.1","2","1","Normal mean = 0","50","[-20.347003884987792 22.793335498148654]","[0 0]","false"
"183","1500","0.1","2","1","Normal mean = 0","50","[20.39860361673349 23.145999901151043]","[0 0]","false"
"185","1500","0.1","2","1","Normal mean = 0","50","[-33.96416968226007 -7.171573968563969]","[0 0]","false"
"187","1500","0.1","2","1","Normal mean = 0","50","[17.420551278308977 -15.049290531967381]","[0 0]","false"
"188","1500","0.1","2","1","Normal mean = 0","50","[-22.511960338988278 -54.802215226728265]","[0 0]","false"
"186","1500","0.1","2","1","Normal mean = 0","50","[-1.0931683619143628 -23.935113484844425]","[0 0]","false"
"189","1500","0.1","2","1","Normal mean = 0","50","[-49.79748546522027 12.288097347988211]","[0 0]","false"
"190","1500","0.1","2","1","Normal mean = 0","50","[13.770402335597806 -14.519398783816197]","[0 0]","false"
"191","1500","0.1","2","1","Normal mean = 0","50","[-20.376259797727656 11.46893942541318]","[0 0]","false"
"192","1500","0.1","2","1","Normal mean = 0","50","[10.03272294637238 -41.88978550129313]","[0 0]","false"
"193","1500","0.1","2","1","Normal mean = 0","50","[6.891725585143126 1.7638568374927472]","[0 0]","false"
"195","1500","0.1","2","1","Normal mean = 0","50","[-14.641488156079506 1.7480764308254366]","[0 0]","false"
"196","1500","0.1","2","1","Normal mean = 0","50","[-47.7184409638232 7.073215313859643]","[0 0]","false"
"194","1500","0.1","2","1","Normal mean = 0","50","[3.316853794524251 -2.799260135871063]","[0 0]","false"
"197","1500","0.1","2","1","Normal mean = 0","50","[-3.1505513638395524 10.326258186320363]","[0 0]","false"
"198","1500","0.1","2","1","Normal mean = 0","50","[47.54095526581053 3.070849537162622]","[0 0]","false"
"199","1500","0.1","2","1","Normal mean = 0","50","[-33.961395680944534 9.168651138748114]","[0 0]","false"
"201","1500","0.1","2","1","Normal mean = 0","50","[-2.1133858352291677 12.178595281361742]","[0 0]","false"
"200","1500","0.1","2","1","Normal mean = 0","50","[-16.80382342475869 39.63203666218421]","[0 0]","false"
"203","1500","0.1","2","1","Normal mean = 0","50","[-49.7372435191097 -13.175190817022413]","[0 0]","false"
"202","1500","0.1","2","1","Normal mean = 0","50","[-1.479001260959392 3.688507692679863]","[0 0]","false"
"204","1500","0.1","2","1","Normal mean = 0","50","[-8.04647746460793 32.55412667081571]","[0 0]","false"
"205","1500","0.1","2","1","Normal mean = 0","50","[37.47204401409054 -13.059109221783103]","[0 0]","false"
"207","1500","0.1","2","1","Normal mean = 0","50","[1.356815199084851 36.93035208838038]","[0 0]","false"
"206","1500","0.1","2","1","Normal mean = 0","50","[1.1375600746038264 3.091051413408697]","[0 0]","false"
"208","1500","0.1","2","1","Normal mean = 0","50","[-9.306995135267622 29.928408744289843]","[0 0]","false"
"209","1500","0.1","2","1","Normal mean = 0","50","[57.26616350070553 19.375851188528017]","[0 0]","false"
"210","1500","0.1","2","1","Normal mean = 0","50","[11.084599951189649 -8.55746381835772]","[0 0]","false"
"211","1500","0.1","2","1","Normal mean = 0","50","[-1.0087485073121911 -6.039517677299472]","[0 0]","false"
"212","1500","0.1","2","1","Normal mean = 0","50","[-9.914255816959685 36.316162769593845]","[0 0]","false"
"213","1500","0.1","2","1","Normal mean = 0","50","[6.589011133673183 31.4385951939891]","[0 0]","false"
"214","1500","0.1","2","1","Normal mean = 0","50","[-14.314749024480289 23.15560174610359]","[0 0]","false"
"215","1500","0.1","2","1","Normal mean = 0","50","[42.04040187346557 -2.1394586366806263]","[0 0]","false"
"216","1500","0.1","2","1","Normal mean = 0","50","[2.6728675380562983 56.13181291859899]","[0 0]","false"
"217","1500","0.1","2","1","Normal mean = 0","50","[-62.990767851245614 -9.243039396649285]","[0 0]","false"
"219","1500","0.1","2","1","Normal mean = 0","50","[-40.91266143276239 12.37862515742583]","[0 0]","false"
"218","1500","0.1","2","1","Normal mean = 0","50","[-36.13966440348429 -19.775876546287936]","[0 0]","false"
"220","1500","0.1","2","1","Normal mean = 0","50","[-48.12322892264301 -20.26432218260756]","[0 0]","false"
"221","1500","0.1","2","1","Normal mean = 0","50","[-16.497854482332812 -41.95350719281864]","[0 0]","false"
"222","1500","0.1","2","1","Normal mean = 0","50","[0.6320598177532142 22.757386931149014]","[0 0]","false"
"223","1500","0.1","2","1","Normal mean = 0","50","[31.157920800092448 27.64007071196387]","[0 0]","false"
"224","1500","0.1","2","1","Normal mean = 0","50","[-1.55907579885828 -8.053483193777224]","[0 0]","false"
"225","1500","0.1","2","1","Normal mean = 0","50","[21.843680839196878 -58.90002824416593]","[0 0]","false"
"226","1500","0.1","2","1","Normal mean = 0","50","[-18.15058762011907 -11.812485025428332]","[0 0]","false"
"227","1500","0.1","2","1","Normal mean = 0","50","[17.178167335813 -2.207053490898521]","[0 0]","false"
"228","1500","0.1","2","1","Normal mean = 0","50","[-4.457379414656577 4.710613346618984]","[0 0]","false"
"229","1500","0.1","2","1","Normal mean = 0","50","[6.37006509661387 -18.69810505918805]","[0 0]","false"
"230","1500","0.1","2","1","Normal mean = 0","50","[-18.759249543152464 -32.728289852371994]","[0 0]","false"
"231","1500","0.1","2","1","Normal mean = 0","50","[-17.14120661844169 -21.807271132441997]","[0 0]","false"
"232","1500","0.1","2","1","Normal mean = 0","50","[-22.58019038206676 17.764016104698648]","[0 0]","false"
"234","1500","0.1","2","1","Normal mean = 0","50","[3.5853870806091734 25.275919954334633]","[0 0]","false"
"233","1500","0.1","2","1","Normal mean = 0","50","[-3.518867234251841 -40.13716987800192]","[0 0]","false"
"235","1500","0.1","2","1","Normal mean = 0","50","[-9.927979159133557 18.178024519577797]","[0 0]","false"
"236","1500","0.1","2","1","Normal mean = 0","50","[-3.268484801358197 1.2141025121852769]","[0 0]","false"
"238","1500","0.1","2","1","Normal mean = 0","50","[-26.573964661131253 28.236825975692533]","[0 0]","false"
"237","1500","0.1","2","1","Normal mean = 0","50","[1.4749951919498445 35.0666274272508]","[0 0]","false"
"239","1500","0.1","2","1","Normal mean = 0","50","[-23.54272404093076 -8.62664463890361]","[0 0]","false"
"240","1500","0.1","2","1","Normal mean = 0","50","[11.507206181472084 -7.87612011785346]","[0 0]","false"
"241","1500","0.1","2","1","Normal mean = 0","50","[-23.46451515984682 -21.79427104048016]","[0 0]","false"
"242","1500","0.1","2","1","Normal mean = 0","50","[-42.768157984517835 2.169851563932917]","[0 0]","false"
"244","1500","0.1","2","1","Normal mean = 0","50","[1.185178031297581 -4.954937331996593]","[0 0]","false"
"243","1500","0.1","2","1","Normal mean = 0","50","[-0.09541639884628106 38.48653245714881]","[0 0]","false"
"245","1500","0.1","2","1","Normal mean = 0","50","[46.30587938823771 -5.32719436276325]","[0 0]","false"
"247","1500","0.1","2","1","Normal mean = 0","50","[-35.080806535151844 -54.63816978746744]","[0 0]","false"
"246","1500","0.1","2","1","Normal mean = 0","50","[-64.20047052366266 26.430103477441705]","[0 0]","false"
"248","1500","0.1","2","1","Normal mean = 0","50","[-10.627624176701804 -13.093901113722046]","[0 0]","false"
"251","1500","0.1","2","1","Normal mean = 0","50","[-12.158799315714054 22.503754567350715]","[0 0]","false"
