[run number],number-of-voters,calibration,marginal-pivotality,variance-of-perceived-pivotality,voting-mechanism,[step],mean payoff-sign-list,mean payoff-list,standard-deviation payoff-list,mean vote-sum-list,standard-deviation vote-sum-list,mean mean-median-same-sign-list
115,51,1. prop8-mean>0,0.5,0.07,1p1v,1000,0.635,2.06265383,10.00603223,-1.804,7.374548662,0.635
114,51,1. prop8-mean>0,0.5,0.06,QV,1000,0.903,7.168238347,7.939526697,2.611820987,4.855446493,0.626
117,51,1. prop8-mean>0,0.5,0.08,1p1v,1000,0.588,1.47949463,10.24034038,-2.43,6.847334225,0.588
116,51,1. prop8-mean>0,0.5,0.07,QV,1000,0.871,7.041435339,8.41335155,2.889429494,5.294791107,0.628
119,51,1. prop8-mean>0,0.5,0.083,1p1v,1000,0.619,2.245306546,9.826065738,-1.896,7.191724752,0.619
118,51,1. prop8-mean>0,0.5,0.08,QV,1000,0.885,7.18444498,7.805916313,2.792223513,5.017488671,0.609
120,51,1. prop8-mean>0,0.5,0.083,QV,1000,0.865,6.603537948,7.979833526,2.662166489,5.195861724,0.6
121,61,1. prop8-mean>0,0.5,0,1p1v,1000,0.599,2.429764232,11.68764164,-2.434,7.74852784,0.599
122,61,1. prop8-mean>0,0.5,0,QV,1000,1,8.392202361,7.967317282,3.299761483,4.753430445,0.592
123,61,1. prop8-mean>0,0.5,3.00E-04,1p1v,1000,0.605,2.044260731,11.58538478,-2.456,8.099485519,0.605
125,61,1. prop8-mean>0,0.5,0.001,1p1v,1000,0.608,2.337815134,11.65643957,-2.508,7.89051305,0.608
124,61,1. prop8-mean>0,0.5,3.00E-04,QV,1000,0.991,9.110886434,8.873471389,3.651629914,5.217341589,0.618
127,61,1. prop8-mean>0,0.5,0.01,1p1v,1000,0.623,2.505757841,11.96837376,-2.052,7.999830829,0.623
126,61,1. prop8-mean>0,0.5,0.001,QV,1000,0.985,8.607689423,8.476727858,3.39135056,5.017162525,0.606
128,61,1. prop8-mean>0,0.5,0.01,QV,1000,0.952,8.156680785,7.86488037,3.255079362,4.705271729,0.624
129,61,1. prop8-mean>0,0.5,0.02,1p1v,1000,0.626,1.992954618,11.32789598,-2.568,7.570911087,0.626
131,61,1. prop8-mean>0,0.5,0.03,1p1v,1000,0.594,1.859525422,11.4256521,-2.284,7.710434151,0.594
130,61,1. prop8-mean>0,0.5,0.02,QV,1000,0.941,8.460837453,8.351182682,3.524631476,5.094528426,0.613
133,61,1. prop8-mean>0,0.5,0.04,1p1v,1000,0.589,2.167524723,11.6241472,-2.678,7.834902788,0.589
132,61,1. prop8-mean>0,0.5,0.03,QV,1000,0.912,8.282529558,8.365839204,3.316803803,5.184492114,0.595
135,61,1. prop8-mean>0,0.5,0.05,1p1v,1000,0.59,1.653627041,11.51849847,-2.762,7.81898283,0.59
134,61,1. prop8-mean>0,0.5,0.04,QV,1000,0.93,8.297023911,8.259903333,3.304711234,5.147844511,0.61
137,61,1. prop8-mean>0,0.5,0.06,1p1v,1000,0.598,2.252980984,11.94750065,-2.384,7.762009585,0.598
136,61,1. prop8-mean>0,0.5,0.05,QV,1000,0.921,8.269561895,8.393015984,3.243806247,5.442517869,0.618
139,61,1. prop8-mean>0,0.5,0.07,1p1v,1000,0.601,1.954987235,11.78132713,-2.702,7.691446831,0.601
138,61,1. prop8-mean>0,0.5,0.06,QV,1000,0.898,8.515539919,9.083788635,3.604666634,5.564951569,0.617
140,61,1. prop8-mean>0,0.5,0.07,QV,1000,0.866,7.598811228,8.539964732,3.160749825,5.40149947,0.593
141,61,1. prop8-mean>0,0.5,0.08,1p1v,1000,0.594,1.593302052,11.81026953,-2.37,7.756498131,0.594
143,61,1. prop8-mean>0,0.5,0.083,1p1v,1000,0.597,1.856296141,11.71768312,-2.318,7.748478232,0.597
142,61,1. prop8-mean>0,0.5,0.08,QV,1000,0.901,8.161164861,8.693246116,3.498805217,5.584041992,0.6
145,71,1. prop8-mean>0,0.5,0,1p1v,1000,0.594,2.541003185,13.46527926,-2.542,8.66101895,0.594
144,61,1. prop8-mean>0,0.5,0.083,QV,1000,0.865,7.985962255,8.52129732,3.553201032,5.413952581,0.619
146,71,1. prop8-mean>0,0.5,0,QV,1000,1,9.734760654,8.79157905,3.950870035,5.235749504,0.574
