[run number],number-of-voters,calibration,marginal-pivotality,variance-of-perceived-pivotality,voting-mechanism,[step],mean payoff-sign-list,mean payoff-list,standard-deviation payoff-list,mean vote-sum-list,standard-deviation vote-sum-list,mean mean-median-same-sign-list
147,71,1. prop8-mean>0,0.5,3.00E-04,1p1v,1000,0.582,2.097537084,13.09225717,-2.502,8.289312921,0.582
148,71,1. prop8-mean>0,0.5,3.00E-04,QV,1000,0.996,9.059082377,8.8002647,3.698218043,5.113742804,0.582
149,71,1. prop8-mean>0,0.5,0.001,1p1v,1000,0.577,1.499170033,12.4077565,-2.63,8.169077906,0.577
151,71,1. prop8-mean>0,0.5,0.01,1p1v,1000,0.61,2.331767001,12.70599298,-2.256,8.769228208,0.61
150,71,1. prop8-mean>0,0.5,0.001,QV,1000,0.988,9.639997062,9.224533872,3.983017224,5.331660636,0.583
153,71,1. prop8-mean>0,0.5,0.02,1p1v,1000,0.595,2.341451462,12.33027519,-2.73,8.260225864,0.595
152,71,1. prop8-mean>0,0.5,0.01,QV,1000,0.962,9.6909399,9.64837217,4.012725073,5.621274588,0.586
154,71,1. prop8-mean>0,0.5,0.02,QV,1000,0.951,9.602517502,9.570196212,4.030538325,5.686965469,0.572
155,71,1. prop8-mean>0,0.5,0.03,1p1v,1000,0.587,1.878622392,12.6318246,-2.65,8.102045615,0.587
157,71,1. prop8-mean>0,0.5,0.04,1p1v,1000,0.576,2.339564989,12.62256494,-2.9,8.565007844,0.576
156,71,1. prop8-mean>0,0.5,0.03,QV,1000,0.933,9.611914419,9.27235111,4.1356862,5.643948935,0.591
158,71,1. prop8-mean>0,0.5,0.04,QV,1000,0.926,9.613142565,8.809400433,4.110045182,5.324820426,0.587
159,71,1. prop8-mean>0,0.5,0.05,1p1v,1000,0.562,1.63262878,13.60742643,-2.86,8.318750002,0.562
161,71,1. prop8-mean>0,0.5,0.06,1p1v,1000,0.562,1.867765937,13.26493967,-2.998,8.190181627,0.562
160,71,1. prop8-mean>0,0.5,0.05,QV,1000,0.903,8.921263245,9.215152711,3.793735018,5.69597132,0.583
163,71,1. prop8-mean>0,0.5,0.07,1p1v,1000,0.592,2.090948769,12.76603559,-2.316,8.219958133,0.592
162,71,1. prop8-mean>0,0.5,0.06,QV,1000,0.896,8.930072082,9.007978235,3.62012556,5.600998426,0.549
165,71,1. prop8-mean>0,0.5,0.08,1p1v,1000,0.571,2.042478506,13.67326231,-2.976,8.277919301,0.571
164,71,1. prop8-mean>0,0.5,0.07,QV,1000,0.881,9.049327273,9.47138541,3.674183013,5.862132287,0.58
167,71,1. prop8-mean>0,0.5,0.083,1p1v,1000,0.573,1.537194311,12.75858769,-3.15,8.366809637,0.573
166,71,1. prop8-mean>0,0.5,0.08,QV,1000,0.88,9.571474051,9.786916252,4.477366476,6.434480117,0.575
169,81,1. prop8-mean>0,0.5,0,1p1v,1000,0.535,1.33314774,14.76978828,-3.69,9.098278886,0.535
168,71,1. prop8-mean>0,0.5,0.083,QV,1000,0.874,8.736026137,9.418945674,4.015878383,6.134903458,0.577
170,81,1. prop8-mean>0,0.5,0,QV,1000,1,10.74493061,9.298749767,4.561900854,5.447677614,0.563
171,81,1. prop8-mean>0,0.5,3.00E-04,1p1v,1000,0.562,1.791288413,14.11885412,-3.512,8.885989918,0.562
172,81,1. prop8-mean>0,0.5,3.00E-04,QV,1000,0.992,11.40004278,10.21154357,4.766237248,5.984702675,0.565
173,81,1. prop8-mean>0,0.5,0.001,1p1v,1000,0.555,1.201571651,13.94234722,-3.27,8.684614126,0.555
175,81,1. prop8-mean>0,0.5,0.01,1p1v,1000,0.535,0.918481814,14.47236714,-3.424,8.819183749,0.535
174,81,1. prop8-mean>0,0.5,0.001,QV,1000,0.986,10.37956692,9.574386473,4.370848554,5.56150377,0.549
176,81,1. prop8-mean>0,0.5,0.01,QV,1000,0.95,10.94399411,10.11725026,4.804413583,6.005927175,0.562
177,81,1. prop8-mean>0,0.5,0.02,1p1v,1000,0.537,1.283773473,13.52523872,-3.702,8.855145939,0.537
179,81,1. prop8-mean>0,0.5,0.03,1p1v,1000,0.555,1.504171286,14.25403377,-3.19,8.990702572,0.555
178,81,1. prop8-mean>0,0.5,0.02,QV,1000,0.962,10.58245968,9.732194984,4.472223503,5.893219327,0.585
181,81,1. prop8-mean>0,0.5,0.04,1p1v,1000,0.559,2.133630489,15.2211257,-3.008,9.170170556,0.559
180,81,1. prop8-mean>0,0.5,0.03,QV,1000,0.931,10.11285438,9.369430767,4.241965655,5.589296861,0.553
183,81,1. prop8-mean>0,0.5,0.05,1p1v,1000,0.575,1.978035487,14.40897595,-3.222,8.922910643,0.575
182,81,1. prop8-mean>0,0.5,0.04,QV,1000,0.916,10.35419949,9.838073254,4.551572624,6.047455405,0.565
184,81,1. prop8-mean>0,0.5,0.05,QV,1000,0.912,10.02488941,9.427075222,4.364365042,5.970588016,0.556
185,81,1. prop8-mean>0,0.5,0.06,1p1v,1000,0.561,1.716879276,13.62356948,-3.47,9.140823522,0.561
187,81,1. prop8-mean>0,0.5,0.07,1p1v,1000,0.56,1.958359334,14.30825181,-2.99,9.099379028,0.56
186,81,1. prop8-mean>0,0.5,0.06,QV,1000,0.891,10.29331142,9.865162412,4.81921024,6.074819904,0.552
189,81,1. prop8-mean>0,0.5,0.08,1p1v,1000,0.551,1.649443291,14.46792948,-2.92,9.087804366,0.551
188,81,1. prop8-mean>0,0.5,0.07,QV,1000,0.908,10.662134,10.31992315,4.685159187,6.341875235,0.554
190,81,1. prop8-mean>0,0.5,0.08,QV,1000,0.88,9.612909187,9.753779231,4.405065273,6.423708255,0.554
191,81,1. prop8-mean>0,0.5,0.083,1p1v,1000,0.559,1.74319899,14.79952648,-2.984,9.110144825,0.559
193,101,1. prop8-mean>0,0.5,0,1p1v,1000,0.523,1.546930286,16.97176451,-3.742,10.29365802,0.523
192,81,1. prop8-mean>0,0.5,0.083,QV,1000,0.864,9.774279443,10.40306717,4.33662829,6.504575875,0.563
194,101,1. prop8-mean>0,0.5,0,QV,1000,1,12.36805978,10.37230049,5.433540921,5.968562696,0.516
195,101,1. prop8-mean>0,0.5,3.00E-04,1p1v,1000,0.495,0.976193291,16.42522771,-4.496,10.14144136,0.495
196,101,1. prop8-mean>0,0.5,3.00E-04,QV,1000,0.998,12.77811022,10.27188724,5.447785694,6.11141761,0.512
197,101,1. prop8-mean>0,0.5,0.001,1p1v,1000,0.517,1.28928421,17.09182802,-3.382,9.885939905,0.517
199,101,1. prop8-mean>0,0.5,0.01,1p1v,1000,0.523,1.578333136,15.7971722,-4.138,9.9127806,0.523
198,101,1. prop8-mean>0,0.5,0.001,QV,1000,0.989,12.09468022,10.48895572,5.24408001,6.084938741,0.483
201,101,1. prop8-mean>0,0.5,0.02,1p1v,1000,0.515,1.029382917,16.64012556,-3.968,9.674532163,0.515
200,101,1. prop8-mean>0,0.5,0.01,QV,1000,0.967,13.38096617,11.62423718,5.91167297,6.665087964,0.504
203,101,1. prop8-mean>0,0.5,0.03,1p1v,1000,0.529,1.477267168,16.34975326,-4.1,9.990886738,0.529
