"BehaviorSpace results (NetLogo 6.1.0)"
"QVoting with Polling.nlogo"
"does-polling-converge"
"08/06/2019 10:32:16:004 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-32","32","-32","32"
"[run number]","number-of-voters","proportion-of-strategic-voters","vote-portion-strategic","number-of-issues","poll-response-rate","utility-distribution","[step]","poll","total-utility-gain","maximal-utility?"
"93","1500","0.1","1","2","1","Normal mean = 0","50","[-9.36657146195381 -25.51951259155195]","[0.5055443449446004 7.012715438373651]","true"
"94","1500","0.1","1","2","1","Normal mean = 0","50","[-18.930782899011074 -18.286949621194545]","[5.184854501934431 2.915779591441868]","true"
"100","1500","0.1","1","2","1","Normal mean = 0","50","[19.264407509042787 32.70328210946055]","[10.761982875295933 5.487667561290139]","true"
"103","1500","0.1","1","2","1","Normal mean = 0","50","[17.391114766528954 -15.743498675718469]","[5.921283832689664 -2.2540861949987803]","false"
"101","1500","0.1","1","2","1","Normal mean = 0","50","[-28.96830803397531 17.7651477332058]","[6.098415418650111 4.250289675884869]","true"
"98","1500","0.1","1","2","1","Normal mean = 0","50","[-6.769404712874494 -5.823952763635813]","[0.16175865730472277 0.08798186492561104]","true"
"102","1500","0.1","1","2","1","Normal mean = 0","50","[3.8304463633345254 -15.799560429879978]","[-1.6658116886933765 5.48042445881609]","false"
"97","1500","0.1","1","2","1","Normal mean = 0","50","[5.487126886085571 -20.7768306528195]","[6.410717599962159 5.735240220796076]","true"
"99","1500","0.1","1","2","1","Normal mean = 0","50","[2.88647679218574 9.137464531068611]","[8.593442428292121 0.17902231233948046]","true"
"109","1500","0.1","1","2","1","Normal mean = 0","50","[-14.509423350768035 -13.316475710370668]","[-8.037581716397897 4.4859223593748005]","false"
"104","1500","0.1","1","2","1","Normal mean = 0","50","[0.9371608166746368 -21.912106777000158]","[-2.5295636802057717 15.976821851414345]","false"
"113","1500","0.1","1","2","1","Normal mean = 0","50","[27.180993214286964 42.981578881068074]","[-4.585925655801422 11.411654209782045]","false"
"110","1500","0.1","1","2","1","Normal mean = 0","50","[-26.20564063858101 -3.1614130473488498]","[10.854145080557158 4.139925507102007]","true"
"111","1500","0.1","1","2","1","Normal mean = 0","50","[-10.385442602110556 -3.365163313087174]","[5.026879738625342 -8.492103649551769]","false"
"105","1500","0.1","1","2","1","Normal mean = 0","50","[4.865611654850518 23.564202023263192]","[-0.3653539999926343 5.3266954421136825]","false"
"106","1500","0.1","1","2","1","Normal mean = 0","50","[1.3080998758137095 1.1119857148926287]","[-0.4920480424092608 -5.361408874254084]","false"
"107","1500","0.1","1","2","1","Normal mean = 0","50","[-5.948687540437071 16.429515576462947]","[2.478797380468327 1.792102383692682]","true"
"108","1500","0.1","1","2","1","Normal mean = 0","50","[-36.424100811232734 36.82176577917655]","[6.533976425756474 7.00446042964672]","true"
"118","1500","0.1","1","2","1","Normal mean = 0","50","[31.85713188102135 3.813597213341454]","[9.275745873090086 -3.403243125820971]","false"
"112","1500","0.1","1","2","1","Normal mean = 0","50","[-38.135528208809596 32.095545504571646]","[8.126471866149373 8.767283534955908]","true"
"114","1500","0.1","1","2","1","Normal mean = 0","50","[-2.49043791002161 -1.8075970887745312]","[-4.65282020025506 -4.16367217827896]","false"
"116","1500","0.1","1","2","1","Normal mean = 0","50","[-3.96784252483433 -13.437878110448754]","[1.2526106891432942 8.441291162945657]","true"
"119","1500","0.1","1","2","1","Normal mean = 0","50","[-45.20076272325652 13.290573460621033]","[7.9730052946478605 9.094267845504737]","true"
"120","1500","0.1","1","2","1","Normal mean = 0","50","[24.56034950674567 -22.748693991550105]","[8.112386100893271 7.944788713597941]","true"
"115","1500","0.1","1","2","1","Normal mean = 0","50","[-25.225580740934035 19.954344814739663]","[8.799493719376876 3.2538706136661886]","true"
"117","1500","0.1","1","2","1","Normal mean = 0","50","[20.64999169172119 23.62126112172107]","[6.0172689216436215 8.829998876697527]","true"
"125","1500","0.1","1","2","1","Normal mean = 0","50","[12.066677485990937 43.26847875340818]","[3.8178087146371062 3.7304123652479793]","true"
"128","1500","0.1","1","2","1","Normal mean = 0","50","[-0.33113096649204043 17.034310204728666]","[-3.4550724004149562 7.907165737015301]","false"
"130","1500","0.1","1","2","1","Normal mean = 0","50","[-6.658480801887848 26.50743561983152]","[3.2735320937040377 10.799145817174299]","true"
"121","1500","0.1","1","2","1","Normal mean = 0","50","[40.08349439582414 3.749560271605562]","[5.740600284124883 2.895134699774598]","true"
"129","1500","0.1","1","2","1","Normal mean = 0","50","[-12.327936858361696 -6.138080513817552]","[2.6281443370175817 1.9704059016732716]","true"
"123","1500","0.1","1","2","1","Normal mean = 0","50","[22.901251080492937 22.460601217832117]","[12.557198106492326 3.216938277051953]","true"
"124","1500","0.1","1","2","1","Normal mean = 0","50","[-2.078589969368323 21.23043764159896]","[1.3235419945234672 -1.0420794230388335]","false"
"122","1500","0.1","1","2","1","Normal mean = 0","50","[7.347562738917084 3.185777918097336]","[-4.2985913718953865 1.8902895672486495]","false"
"127","1500","0.1","1","2","1","Normal mean = 0","50","[20.379831334201505 -16.912608336634797]","[-0.44356352307425073 4.961337676089197]","false"
"133","1500","0.1","1","2","1","Normal mean = 0","50","[-15.622657286342296 28.634479659613202]","[12.761455597460932 9.793386564632618]","true"
"126","1500","0.1","1","2","1","Normal mean = 0","50","[-12.809379310513993 63.41320507352257]","[5.948799135697811 13.002902755419882]","true"
"135","1500","0.1","1","2","1","Normal mean = 0","50","[8.79183215038124 -37.170631569502426]","[3.254779720251946 10.736681862646483]","true"
"131","1500","0.1","1","2","1","Normal mean = 0","50","[-6.78011825671072 -27.15306277290667]","[3.046348723985045 19.44778655801739]","true"
"137","1500","0.1","1","2","1","Normal mean = 0","50","[-10.710551152538917 29.900952983360245]","[0.8750656730988665 9.564321037596901]","true"
"134","1500","0.1","1","2","1","Normal mean = 0","50","[-27.635490241315544 -1.1069373684818409]","[12.274967751597398 -8.338239694972737]","false"
"132","1500","0.1","1","2","1","Normal mean = 0","50","[48.797334920727 41.56408252262438]","[11.475028340248155 7.771727811851354]","true"
"142","1500","0.1","1","2","1","Normal mean = 0","50","[-28.87987192755143 0.9289790758102957]","[6.735236629885182 7.33624502916909]","true"
"144","1500","0.1","1","2","1","Normal mean = 0","50","[-1.137975344967404 -32.69118751852417]","[-2.6651437567546106 9.428427944253826]","false"
"146","1500","0.1","1","2","1","Normal mean = 0","50","[19.418589692208418 -28.692731446231605]","[10.189339068753775 8.055861756704429]","true"
"136","1500","0.1","1","2","1","Normal mean = 0","50","[3.1977058716808204 -7.943237575289094]","[1.200505709550696 3.952688532791153]","true"
"141","1500","0.1","1","2","1","Normal mean = 0","50","[10.595214088296895 -28.508877403480867]","[2.569710355865485 7.775516379960191]","true"
"138","1500","0.1","1","2","1","Normal mean = 0","50","[2.0829936646870024 5.139709068721229]","[-0.29954364660812205 -6.651825345881752]","false"
"147","1500","0.1","1","2","1","Normal mean = 0","50","[-26.99176927153097 -5.887462309761922]","[9.55877634882734 2.1559861048255153]","true"
"140","1500","0.1","1","2","1","Normal mean = 0","50","[-39.553319905786545 3.9637841197843526]","[-1.0673732956296271 1.0461061292242686]","false"
