"BehaviorSpace results (NetLogo 6.1.0)"
"QVoting with Polling and Collusion.nlogo"
"QV-Collusion"
"08/14/2019 15:23:24:992 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-32","32","-32","32"
"[run number]","vote-portion-strategic","number-of-voters","proportion-of-strategic-voters","party-turtles-created-per-cycle","QV?","number-of-issues","utility-distribution","collusion-growth","[step]","[shapley-value] of party-turtles","mean [count link-neighbors] of party-turtles","[count link-neighbors] of party-turtles","count party-turtles","total-utility-gain","length map [x -> x > 0] total-utility-gain"
"4","0","10000","0","1","true","2","Normal mean = 0","1","9","[[0.2687312012667752 -0.09100730205449334] 0 [0.07847787132030622 0.02299826282553294] [0.2144458227547087 0.029187732501638485] [-0.06152182003639095 0.04129588719525807] [-0.4225511481028308 0.6307775914598965] [0.06423442422794913 -0.05982743141928139] [0.045874513436773186 0.3407297600270436] [0.6939215091111562 0.30775252264301184]]","5","[4 1 3 9 7 5 2 6 8]","9","[-7.446936295104494 8.602468751704556]","2"
"2","0","10000","0","1","true","2","Normal mean = 0","1","9","[[-7.873327764393192 0.06027497088603242] [2.785416742623568 -0.055760681670932316] 0 [-2.5547827916737718 -0.015852937650898773] [4.937405954211203 -0.4301851916714886] [-0.5768505974530745 -0.14953584779577295] [1.110946907063058 -0.022070131571808614] [9.149848143679192 -0.2518597220980097] [-0.17344174810660815 0.008567996126944703]]","5","[6 3 5 9 4 8 1 7 2]","9","[-6.122265617171867 18.032415643206065]","2"
"1","0","10000","0","1","true","2","Normal mean = 0","1","9","[[0.007297128387945942 0.25057257076201644] [-0.12937906174402355 0.15774202081883373] [0.028633899151270494 -0.04643263362787685] [0.04632346503824056 0.2008606070149822] [0.3514608679501597 -0.12326151908357964] [0.4405561697884654 -0.5962574028971378] 0 [0.09899992025882984 0.09476251001977734] [0.059531030350263144 0.6157995123034266]]","5","[4 3 6 9 8 7 1 5 2]","9","[12.11784007569934 -6.248016447169244]","2"
"3","0","10000","0","1","true","2","Normal mean = 0","1","10","[[-0.02358924830422587 -0.012499736687972718] [0.033430160881389795 0.16224967991056632] [-0.07716944948432261 -0.10233564793636364] [0.4152792949054914 0.3043418013088279] [-0.0919437727069969 -0.005895457421076476] [-0.5804036408415923 -0.07306201189643292] [-0.3231858076050556 0.29853624950797797] 0 [0.12206871349813754 0.42685576148895993] [-0.09028731395375504 -0.05949560225108125]]","5.5","[2 5 10 4 8 1 6 3 7 9]","10","[-9.190030394085646 42.97353328057673]","2"
"1","0","10000","0","1","true","2","Normal mean = 0","1","10","[[0.28922252406714255 0.15429553719478892] [0.033615873841654084 -0.014926669206600202] [0.6400785785937828 -0.47136957662836515] 0 [0.15217708191810397 0.07382161398666721] [-0.14703360070923557 0.09092317814644076] [-0.005150346243164514 0.009871658103330627] [-0.23931470813919248 0.8427483995260998] [0.04070106880447665 0.21171652538523983]]","5.888888888888889","[8 3 1 14 5 9 2 7 4]","9","[12.117840075699384 -6.248016447169192]","2"
"2","0","10000","0","1","true","2","Normal mean = 0","1","10","[[0.054602789578198974 -0.027789415450632494] [-0.20609499892881591 0.02062291822599045] [-0.42891384998799476 -0.3828678976203462] [-0.08269181910358678 0.061921911022703294] [-0.3244382367889955 0.06102790301118482] [-0.25253102519188164 -0.061459090427161286] [0.4810791058046536 -0.359960039034358] 0 [-0.045985619566699616 -0.028387137102225228]]","6","[2 5 6 7 3 9 1 4 17]","9","[-6.122265617171835 18.032415643206036]","2"
"4","0","10000","0","1","true","2","Normal mean = 0","1","10","[[0.17213675268961753 -0.10823994616741521] [-0.5506101418564445 0.5830170783355818] [0.38612083945735526 0.7017434325236789] [0.3545472382871036 -0.04559264409020019] [0.20816060994906327 0.04661244022906613] [-0.10380135878846267 0.08296228288484464] 0 [0.24503674926943053 -0.04387264074649213] [0.3114992975968243 0.15495579262036885] [-0.0632626427561558 0.02230573927994799]]","5.5","[4 9 1 5 6 7 2 8 10 3]","10","[-7.446936295104461 8.60246875170451]","2"
"3","0","10000","0","1","true","2","Normal mean = 0","1","11","[[-0.5213013871446309 0.1019603241371067] [-0.0019928799300914604 0.29780073960469927] [-0.11890357843809322 0.09174823142922552] [0.05199695951658409 0.013803661850794926] [-0.4039257376876197 0.28599960524607] [-0.17085657531924095 -0.021519331732588676] [0.012911891089874969 0.02398545112278017] [0.5040685672150969 0.31443180896284184] [-0.2459017142321886 -0.10575246788851508] 0]","6.4","[10 9 11 3 7 2 6 8 1 7]","10","[-9.190030394085639 42.973533280576696]","2"
"2","0","10000","0","1","true","2","Normal mean = 0","1","11","[[0.5807124022029948 -0.43538447019320464] [0.04063499382180143 -0.05325487066514814] [-0.20733339292576733 -0.1042591035811291] [0.08219089777573187 -0.017995021839882358] 0 [-0.19870863422978094 0.09759783132288521] [-0.02891058581360524 -0.02733818919125266] [0.39508176780505755 -1.0659688981049897] [-0.6084412756571226 0.0996563693937263] [-0.007930563122325335 -0.07338501799973773]]","6.4","[10 5 18 1 4 6 8 3 7 2]","10","[-6.12226561717181 18.032415643206004]","2"
"1","0","10000","0","1","true","2","Normal mean = 0","1","11","[[0.1599540601194328 0.13527269460382782] [0.11326788727375475 0.3200795213160319] [-0.24693221349811653 1.5078572192318078] [0.057865861860185275 -0.02738760032901406] [-0.019240484694344147 0.026713768353989018] [-0.13196789401866912 0.10406563367816145] 0 [0.2299616872735518 -0.019762852607938194] [0.5504224597916174 -0.7173727456431047] [0.021065932128770906 -0.007257354306252901]]","6.3","[8 9 4 6 5 1 2 10 15 3]","10","[12.117840075699382 -6.24801644716929]","2"
