"BehaviorSpace results (NetLogo 6.1.0)"
"QVoting-DynamicPivotality.nlogo"
"Is payoff > 0 for a varied p?"
"07/02/2019 14:58:23:971 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","40","0","40"
"[run number]","number-of-voters","marginal-pivotality","voice-credits-given-per-tick","stdev-of-utilities","limit-votes?","variance-of-perceived-pivotality","mean-of-utilities","[step]","precision variance-of-perceived-pivotality 4","sum-of-votes","sum-of-utilities","payoff >= 0"
"24","1000","0.3","0","5","false","0.25","0","1","0.0525","12.10913336977751","38.376613892871944","true"
"23","1000","0.3","0","5","false","0.25","0","0","0.0525","0","0","true"
"23","1000","0.3","0","5","false","0.25","0","1","0.0525","-64.1848752406571","-316.050649289524","true"
"26","1000","0.3","0","5","false","0.25","0","0","0.0525","0","0","true"
"25","1000","0.3","0","5","false","0.25","0","0","0.0525","0","0","true"
"25","1000","0.3","0","5","false","0.25","0","1","0.0525","-15.217847755518505","-72.32227194399661","true"
"26","1000","0.3","0","5","false","0.25","0","1","0.0525","-110.47742342275524","-301.283385612602","true"
"28","1000","0.3","0","5","false","0.25","0","0","0.0525","0","0","true"
"28","1000","0.3","0","5","false","0.25","0","1","0.0525","12.507064827556178","36.71153950510094","true"
"27","1000","0.3","0","5","false","0.25","0","0","0.0525","0","0","true"
"27","1000","0.3","0","5","false","0.25","0","1","0.0525","33.65893075458439","107.00578211836466","true"
"29","1000","0.3","0","5","false","0.25","0","0","0.0525","0","0","true"
"29","1000","0.3","0","5","false","0.25","0","1","0.0525","0.004511112771979242","106.57669622568257","true"
"30","1000","0.3","0","5","false","0.25","0","0","0.0525","0","0","true"
"30","1000","0.3","0","5","false","0.25","0","1","0.0525","-45.07462838038691","-59.024057747413394","true"
"32","1000","0.3","0","5","false","0.25","0","0","0.0525","0","0","true"
"31","1000","0.3","0","5","false","0.25","0","0","0.0525","0","0","true"
"32","1000","0.3","0","5","false","0.25","0","1","0.0525","-47.53597167630096","-167.84495309885895","true"
"31","1000","0.3","0","5","false","0.25","0","1","0.0525","-36.95461786756175","-118.60514636092282","true"
"33","1000","0.3","0","5","false","0.25","0","0","0.0525","0","0","true"
